stateabbr,statedesc,locationname,measureid,measure,category,data_value,indicator_90th_percentile
TN,Tennessee,Campbell,ARTHRITIS,Arthritis among adults,Health Outcomes,29.8,28.0
OK,Oklahoma,Comanche,OBESITY,Obesity among adults,Health Outcomes,43.7,43.0
OK,Oklahoma,Jefferson,DISABILITY,Any disability among adults,Disability,41.9,39.4
OK,Oklahoma,Seminole,SELFCARE,Self-care disability among adults,Disability,5.5,5.4
SD,South Dakota,Ziebach,CASTHMA,Current asthma among adults,Health Outcomes,13.7,11.8
SD,South Dakota,Oglala Lakota,INDEPLIVE,Independent living disability among adults,Disability,20.8,11.6
SC,South Carolina,Laurens,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,79.7,78.6
OK,Oklahoma,Latimer,OBESITY,Obesity among adults,Health Outcomes,43.1,43.0
OK,Oklahoma,Murray,CASTHMA,Current asthma among adults,Health Outcomes,11.9,11.8
SD,South Dakota,Roberts,OBESITY,Obesity among adults,Health Outcomes,43.5,43.0
SD,South Dakota,Lawrence,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,67.7,67.4
SC,South Carolina,Clarendon,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,14.7,14.3
OK,Oklahoma,Le Flore,MOBILITY,Mobility disability among adults,Disability,18.7,17.75
SC,South Carolina,Dillon,ACCESS2,Current lack of health insurance among adults aged 18-64 years,Prevention,17.2,17.1
SC,South Carolina,Sumter,OBESITY,Obesity among adults,Health Outcomes,43.2,43.0
OK,Oklahoma,Hughes,MOBILITY,Mobility disability among adults,Disability,18.7,17.75
PA,Pennsylvania,Cumberland,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,66.8,63.1
SC,South Carolina,Williamsburg,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,31.2,29.0
OK,Oklahoma,Haskell,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,26.7,24.0
OK,Oklahoma,Coal,CASTHMA,Current asthma among adults,Health Outcomes,13.1,11.8
OK,Oklahoma,Okfuskee,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,34.8,34.8
SD,South Dakota,Hughes,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,71.3,67.4
OR,Oregon,Clackamas,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,69.9,67.4
SC,South Carolina,Bamberg,STROKE,Stroke among adults,Health Outcomes,4.5,4.1
SD,South Dakota,Jackson,DISABILITY,Any disability among adults,Disability,41.8,39.4
OK,Oklahoma,Seminole,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,23.3,20.8
SC,South Carolina,Orangeburg,VISION,Vision disability among adults,Disability,7.9,7.6
OK,Oklahoma,Sequoyah,HEARING,Hearing disability among adults,Disability,10.2,8.2
SD,South Dakota,Jones,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,7.7,7.6
OK,Oklahoma,Murray,HEARING,Hearing disability among adults,Disability,8.7,8.2
OR,Oregon,Lake,CASTHMA,Current asthma among adults,Health Outcomes,12.2,11.8
SC,South Carolina,Hampton,SLEEP,Short sleep duration among adults,Health Risk Behaviors,44.2,42.3
PA,Pennsylvania,Chester,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,67.0,63.1
SD,South Dakota,Lincoln,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,66.0,63.1
SC,South Carolina,Allendale,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,80.0,78.9
SC,South Carolina,Edgefield,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,63.2,62.5
OR,Oregon,Linn,DEPRESSION,Depression among adults,Health Outcomes,31.6,28.4
OK,Oklahoma,Coal,SELFCARE,Self-care disability among adults,Disability,5.6,5.4
SD,South Dakota,Sully,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,7.7,7.6
OK,Oklahoma,Haskell,HEARING,Hearing disability among adults,Disability,9.6,8.2
OK,Oklahoma,Okfuskee,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,37.4,34.3
SD,South Dakota,Mellette,COGNITION,Cognitive disability among adults,Disability,23.1,20.4
SD,South Dakota,Minnehaha,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,73.5,67.4
OK,Oklahoma,Coal,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,10.2,9.1
SC,South Carolina,Marlboro,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,9.7,9.1
SC,South Carolina,Marlboro,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,34.7,26.2
TN,Tennessee,Claiborne,MHLTH,Frequent mental distress among adults,Health Status,22.3,21.0
PA,Pennsylvania,Wyoming,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,78.9,78.6
OK,Oklahoma,Craig,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,22.8,20.8
OK,Oklahoma,Pushmataha,PHLTH,Frequent physical distress among adults,Health Status,17.1,16.4
OK,Oklahoma,Harmon,HEARING,Hearing disability among adults,Disability,8.9,8.2
OR,Oregon,Douglas,DEPRESSION,Depression among adults,Health Outcomes,29.4,28.4
SC,South Carolina,Allendale,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,16.9,13.4
RI,Rhode Island,Kent,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,83.9,78.6
PA,Pennsylvania,Montour,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,80.4,78.6
SD,South Dakota,Clay,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,7.8,7.6
SD,South Dakota,Bennett,DISABILITY,Any disability among adults,Disability,42.2,39.4
SD,South Dakota,Ziebach,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,37.9,34.3
TN,Tennessee,Clay,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,10.5,9.1
SD,South Dakota,Buffalo,ARTHRITIS,Arthritis among adults,Health Outcomes,28.0,28.0
SD,South Dakota,Oglala Lakota,GHLTH,Fair or poor self-rated health status among adults,Health Status,41.1,26.9
OK,Oklahoma,Okfuskee,DIABETES,Diagnosed diabetes among adults,Health Outcomes,14.7,14.2
OK,Oklahoma,Custer,OBESITY,Obesity among adults,Health Outcomes,43.1,43.0
SC,South Carolina,Union,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,9.6,9.1
