stateabbr,statedesc,locationname,measureid,measure,category,data_value,indicator_90th_percentile
IA,Iowa,Osceola,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,80.2,78.6
IA,Iowa,Appanoose,OBESITY,Obesity among adults,Health Outcomes,43.5,43.0
IN,Indiana,Washington,DEPRESSION,Depression among adults,Health Outcomes,28.6,28.4
IN,Indiana,Howard,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,24.5,24.0
IA,Iowa,Dubuque,BINGE,Binge drinking among adults,Health Risk Behaviors,23.1,21.6
IN,Indiana,Crawford,CASTHMA,Current asthma among adults,Health Outcomes,12.0,11.8
IA,Iowa,Pocahontas,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,67.9,67.4
IN,Indiana,St. Joseph,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,78.9,78.9
IN,Indiana,Parke,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,9.7,9.1
IA,Iowa,Lucas,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,80.8,78.6
IA,Iowa,Linn,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,68.1,67.4
IN,Indiana,Blackford,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,9.7,9.1
IA,Iowa,Chickasaw,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,79.7,78.6
IA,Iowa,Marion,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,7.6,7.6
KS,Kansas,Cherokee,OBESITY,Obesity among adults,Health Outcomes,43.7,43.0
IA,Iowa,Guthrie,BINGE,Binge drinking among adults,Health Risk Behaviors,23.0,21.6
IA,Iowa,Muscatine,BINGE,Binge drinking among adults,Health Risk Behaviors,22.9,21.6
IN,Indiana,Parke,MHLTH,Frequent mental distress among adults,Health Status,21.2,21.0
KS,Kansas,Chautauqua,HEARING,Hearing disability among adults,Disability,8.2,8.2
IA,Iowa,Butler,BINGE,Binge drinking among adults,Health Risk Behaviors,24.2,21.6
IA,Iowa,Bremer,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,68.6,67.4
IA,Iowa,Delaware,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,68.6,67.4
IN,Indiana,Dubois,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,64.1,63.1
IN,Indiana,Warrick,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,68.8,67.4
IA,Iowa,Humboldt,BINGE,Binge drinking among adults,Health Risk Behaviors,22.5,21.6
IN,Indiana,Fayette,OBESITY,Obesity among adults,Health Outcomes,44.8,43.0
IA,Iowa,Wright,BINGE,Binge drinking among adults,Health Risk Behaviors,22.2,21.6
IA,Iowa,Kossuth,BINGE,Binge drinking among adults,Health Risk Behaviors,23.0,21.6
IN,Indiana,DeKalb,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,64.0,63.1
IA,Iowa,Johnson,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,70.0,67.4
IN,Indiana,Crawford,HEARING,Hearing disability among adults,Disability,8.2,8.2
IA,Iowa,Warren,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,7.6,7.6
IA,Iowa,Fremont,BINGE,Binge drinking among adults,Health Risk Behaviors,22.5,21.6
IA,Iowa,Fayette,BINGE,Binge drinking among adults,Health Risk Behaviors,23.4,21.6
IN,Indiana,Marshall,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,34.9,34.8
IN,Indiana,Adams,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,9.1,9.1
IA,Iowa,Lyon,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,68.5,67.4
IA,Iowa,Washington,BINGE,Binge drinking among adults,Health Risk Behaviors,23.0,21.6
IA,Iowa,Carroll,BINGE,Binge drinking among adults,Health Risk Behaviors,23.0,21.6
IN,Indiana,Grant,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,79.0,78.9
IA,Iowa,Grundy,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,82.0,78.6
IA,Iowa,Winnebago,BINGE,Binge drinking among adults,Health Risk Behaviors,22.7,21.6
IA,Iowa,O'Brien,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,78.9,78.6
IN,Indiana,Blackford,MHLTH,Frequent mental distress among adults,Health Status,21.0,21.0
IN,Indiana,Hamilton,CHOLSCREEN,Cholesterol screening among adults,Prevention,88.3,85.9
IA,Iowa,Buchanan,BINGE,Binge drinking among adults,Health Risk Behaviors,24.1,21.6
IN,Indiana,Crawford,OBESITY,Obesity among adults,Health Outcomes,43.0,43.0
IN,Indiana,Parke,ARTHRITIS,Arthritis among adults,Health Outcomes,28.1,28.0
IA,Iowa,Chickasaw,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,63.5,63.1
IA,Iowa,Des Moines,BINGE,Binge drinking among adults,Health Risk Behaviors,22.3,21.6
IA,Iowa,Grundy,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,64.4,63.1
IN,Indiana,Clay,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,25.2,24.0
IN,Indiana,Delaware,ARTHRITIS,Arthritis among adults,Health Outcomes,28.8,28.0
IA,Iowa,Clarke,OBESITY,Obesity among adults,Health Outcomes,43.2,43.0
IN,Indiana,Ohio,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,63.5,63.1
IA,Iowa,Carroll,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,79.6,78.6
IA,Iowa,Union,BINGE,Binge drinking among adults,Health Risk Behaviors,21.6,21.6
IA,Iowa,Mahaska,BINGE,Binge drinking among adults,Health Risk Behaviors,21.8,21.6
IA,Iowa,Scott,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,69.8,67.4
IA,Iowa,Henry,BINGE,Binge drinking among adults,Health Risk Behaviors,22.3,21.6
IA,Iowa,Montgomery,BINGE,Binge drinking among adults,Health Risk Behaviors,22.1,21.6
IN,Indiana,Fayette,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,20.8,20.8
LA,Louisiana,Evangeline,HEARING,Hearing disability among adults,Disability,8.5,8.2
LA,Louisiana,Ouachita,BPHIGH,High blood pressure among adults,Health Outcomes,42.1,39.8
LA,Louisiana,Jefferson Davis,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,62.5,62.5
LA,Louisiana,St. Landry,DISABILITY,Any disability among adults,Disability,43.9,39.4
MA,Massachusetts,Plymouth,CHOLSCREEN,Cholesterol screening among adults,Prevention,88.7,85.9
ME,Maine,York,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,7.8,7.6
LA,Louisiana,Avoyelles,OBESITY,Obesity among adults,Health Outcomes,43.2,43.0
KY,Kentucky,Menifee,SLEEP,Short sleep duration among adults,Health Risk Behaviors,42.7,42.3
LA,Louisiana,Red River,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,80.3,78.9
LA,Louisiana,Richland,INDEPLIVE,Independent living disability among adults,Disability,12.5,11.6
LA,Louisiana,Union,ARTHRITIS,Arthritis among adults,Health Outcomes,28.3,28.0
LA,Louisiana,Madison,INDEPLIVE,Independent living disability among adults,Disability,16.4,11.6
LA,Louisiana,Tangipahoa,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,62.7,62.5
LA,Louisiana,Bienville,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,35.5,34.8
LA,Louisiana,Caddo,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,65.6,62.5
LA,Louisiana,Franklin,COGNITION,Cognitive disability among adults,Disability,23.1,20.4
LA,Louisiana,Claiborne,CHD,Coronary heart disease among adults,Health Outcomes,8.7,7.0
LA,Louisiana,Red River,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,10.1,9.1
ME,Maine,Piscataquis,CASTHMA,Current asthma among adults,Health Outcomes,12.9,11.8
LA,Louisiana,Union,STROKE,Stroke among adults,Health Outcomes,4.2,4.1
LA,Louisiana,Winn,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,21.1,20.8
LA,Louisiana,Natchitoches,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,16.2,14.3
LA,Louisiana,De Soto,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,24.1,22.1
ME,Maine,Lincoln,DEPRESSION,Depression among adults,Health Outcomes,29.3,28.4
LA,Louisiana,Morehouse,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,25.9,20.2
MD,Maryland,Montgomery,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,66.0,63.1
LA,Louisiana,Allen,COGNITION,Cognitive disability among adults,Disability,21.4,20.4
LA,Louisiana,Morehouse,ARTHRITIS,Arthritis among adults,Health Outcomes,30.1,28.0
LA,Louisiana,Iberia,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,24.5,22.1
KY,Kentucky,Pike,SLEEP,Short sleep duration among adults,Health Risk Behaviors,46.1,42.3
LA,Louisiana,Red River,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,28.1,24.0
LA,Louisiana,Richland,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,26.6,22.1
LA,Louisiana,Evangeline,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,29.3,24.0
LA,Louisiana,East Carroll,SLEEP,Short sleep duration among adults,Health Risk Behaviors,48.4,42.3
LA,Louisiana,Catahoula,STROKE,Stroke among adults,Health Outcomes,4.5,4.1
LA,Louisiana,Caldwell,MHLTH,Frequent mental distress among adults,Health Status,22.7,21.0
LA,Louisiana,Bienville,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,24.5,20.8
MD,Maryland,Frederick,CHOLSCREEN,Cholesterol screening among adults,Prevention,88.6,85.9
MD,Maryland,Howard,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,79.3,78.9
LA,Louisiana,Bienville,VISION,Vision disability among adults,Disability,9.5,7.6
LA,Louisiana,Richland,OBESITY,Obesity among adults,Health Outcomes,43.1,43.0
LA,Louisiana,Iberia,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,13.8,13.4
LA,Louisiana,Catahoula,ARTHRITIS,Arthritis among adults,Health Outcomes,28.5,28.0
KY,Kentucky,Owsley,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,30.6,24.0
ME,Maine,Kennebec,CASTHMA,Current asthma among adults,Health Outcomes,12.6,11.8
LA,Louisiana,East Carroll,CHD,Coronary heart disease among adults,Health Outcomes,9.5,7.0
LA,Louisiana,St. James,SLEEP,Short sleep duration among adults,Health Risk Behaviors,44.3,42.3
LA,Louisiana,Red River,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,38.0,34.3
LA,Louisiana,Caldwell,MOBILITY,Mobility disability among adults,Disability,18.7,17.75
LA,Louisiana,Claiborne,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,35.1,34.8
LA,Louisiana,Acadia,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,24.5,22.1
LA,Louisiana,Winn,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,35.0,34.8
ME,Maine,Sagadahoc,DEPRESSION,Depression among adults,Health Outcomes,29.2,28.4
LA,Louisiana,Avoyelles,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,35.1,34.8
MD,Maryland,Talbot,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,67.9,67.4
LA,Louisiana,St. Mary,OBESITY,Obesity among adults,Health Outcomes,44.9,43.0
LA,Louisiana,Avoyelles,CHD,Coronary heart disease among adults,Health Outcomes,7.8,7.0
KY,Kentucky,Scott,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,64.6,63.1
LA,Louisiana,Franklin,PHLTH,Frequent physical distress among adults,Health Status,17.8,16.4
LA,Louisiana,St. Helena,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,33.8,29.0
KY,Kentucky,Fulton,SLEEP,Short sleep duration among adults,Health Risk Behaviors,45.5,42.3
LA,Louisiana,Red River,DISABILITY,Any disability among adults,Disability,43.5,39.4
KY,Kentucky,Marion,SLEEP,Short sleep duration among adults,Health Risk Behaviors,43.0,42.3
LA,Louisiana,Orleans,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,81.1,78.6
KY,Kentucky,Floyd,SLEEP,Short sleep duration among adults,Health Risk Behaviors,46.1,42.3
LA,Louisiana,Natchitoches,BPHIGH,High blood pressure among adults,Health Outcomes,43.4,39.8
LA,Louisiana,Iberia,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,64.9,62.5
LA,Louisiana,Winn,BPHIGH,High blood pressure among adults,Health Outcomes,42.5,39.8
LA,Louisiana,Richland,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,64.3,62.5
LA,Louisiana,Tensas,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,22.3,14.3
LA,Louisiana,East Carroll,MHLTH,Frequent mental distress among adults,Health Status,23.5,21.0
LA,Louisiana,St. Helena,SELFCARE,Self-care disability among adults,Disability,6.4,5.4
MA,Massachusetts,Nantucket,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,65.8,63.1
LA,Louisiana,St. Helena,MOBILITY,Mobility disability among adults,Disability,20.3,17.75
ME,Maine,Franklin,CASTHMA,Current asthma among adults,Health Outcomes,13.4,11.8
LA,Louisiana,Franklin,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,15.3,13.4
LA,Louisiana,Morehouse,DISABILITY,Any disability among adults,Disability,44.2,39.4
LA,Louisiana,De Soto,SLEEP,Short sleep duration among adults,Health Risk Behaviors,42.9,42.3
LA,Louisiana,East Carroll,HEARING,Hearing disability among adults,Disability,8.8,8.2
LA,Louisiana,Jefferson,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,81.3,78.9
LA,Louisiana,Concordia,BPHIGH,High blood pressure among adults,Health Outcomes,45.6,39.8
ME,Maine,Androscoggin,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,80.1,78.6
MA,Massachusetts,Hampshire,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,83.8,78.6
LA,Louisiana,Union,GHLTH,Fair or poor self-rated health status among adults,Health Status,27.3,26.9
LA,Louisiana,Plaquemines,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,29.4,29.0
LA,Louisiana,Catahoula,GHLTH,Fair or poor self-rated health status among adults,Health Status,29.6,26.9
LA,Louisiana,Sabine,MHLTH,Frequent mental distress among adults,Health Status,22.6,21.0
LA,Louisiana,Morehouse,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,30.5,24.0
MD,Maryland,Howard,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,71.7,67.4
LA,Louisiana,Jackson,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,23.8,22.1
MD,Maryland,Queen Anne's,CHOLSCREEN,Cholesterol screening among adults,Prevention,87.6,85.9
MD,Maryland,Baltimore,STROKE,Stroke among adults,Health Outcomes,4.1,4.1
ME,Maine,Androscoggin,DEPRESSION,Depression among adults,Health Outcomes,30.8,28.4
KY,Kentucky,Jackson,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,29.5,24.0
KS,Kansas,Seward,ACCESS2,Current lack of health insurance among adults aged 18-64 years,Prevention,25.1,17.1
LA,Louisiana,Sabine,DEPRESSION,Depression among adults,Health Outcomes,29.6,28.4
LA,Louisiana,Avoyelles,SELFCARE,Self-care disability among adults,Disability,6.4,5.4
KY,Kentucky,Todd,SLEEP,Short sleep duration among adults,Health Risk Behaviors,43.1,42.3
LA,Louisiana,Evangeline,SLEEP,Short sleep duration among adults,Health Risk Behaviors,43.0,42.3
LA,Louisiana,Terrebonne,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,29.1,29.0
MI,Michigan,Alcona,DEPRESSION,Depression among adults,Health Outcomes,29.3,28.4
LA,Louisiana,Bienville,INDEPLIVE,Independent living disability among adults,Disability,14.3,11.6
LA,Louisiana,Avoyelles,GHLTH,Fair or poor self-rated health status among adults,Health Status,30.1,26.9
LA,Louisiana,Caldwell,DEPRESSION,Depression among adults,Health Outcomes,30.1,28.4
LA,Louisiana,Iberville,DIABETES,Diagnosed diabetes among adults,Health Outcomes,14.4,14.2
MD,Maryland,Prince George's,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,63.6,63.1
LA,Louisiana,Lafayette,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,81.6,78.6
LA,Louisiana,Tensas,COGNITION,Cognitive disability among adults,Disability,23.9,20.4
LA,Louisiana,Winn,CHD,Coronary heart disease among adults,Health Outcomes,7.2,7.0
LA,Louisiana,Franklin,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,10.4,9.1
MD,Maryland,Baltimore,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,80.1,78.9
LA,Louisiana,East Feliciana,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,31.5,29.0
LA,Louisiana,Natchitoches,INDEPLIVE,Independent living disability among adults,Disability,11.6,11.6
LA,Louisiana,St. Helena,SLEEP,Short sleep duration among adults,Health Risk Behaviors,43.2,42.3
LA,Louisiana,St. Mary,DIABETES,Diagnosed diabetes among adults,Health Outcomes,14.7,14.2
MA,Massachusetts,Bristol,CHOLSCREEN,Cholesterol screening among adults,Prevention,87.5,85.9
KY,Kentucky,Robertson,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,24.0,24.0
LA,Louisiana,Allen,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,9.1,9.1
LA,Louisiana,Tangipahoa,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,29.4,29.0
LA,Louisiana,Union,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,15.0,14.3
KY,Kentucky,Garrard,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,24.5,24.0
MD,Maryland,Baltimore,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,22.0,20.2
LA,Louisiana,Natchitoches,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,27.4,26.2
ME,Maine,Kennebec,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,64.2,63.1
MD,Maryland,Charles,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,65.2,63.1
MD,Maryland,Carroll,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,81.2,78.6
MD,Maryland,Montgomery,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,68.7,67.4
MA,Massachusetts,Franklin,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,72.3,67.4
LA,Louisiana,Lincoln,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,26.6,26.2
LA,Louisiana,De Soto,MHLTH,Frequent mental distress among adults,Health Status,21.9,21.0
LA,Louisiana,Union,BPHIGH,High blood pressure among adults,Health Outcomes,41.0,39.8
LA,Louisiana,Sabine,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,9.3,9.1
LA,Louisiana,Tensas,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,19.0,13.4
MI,Michigan,Alpena,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,7.8,7.6
LA,Louisiana,St. Landry,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,29.5,22.1
LA,Louisiana,Acadia,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,29.0,29.0
LA,Louisiana,St. Bernard,MOBILITY,Mobility disability among adults,Disability,17.8,17.75
LA,Louisiana,Morehouse,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,17.6,13.4
LA,Louisiana,Claiborne,INDEPLIVE,Independent living disability among adults,Disability,15.3,11.6
LA,Louisiana,Jackson,OBESITY,Obesity among adults,Health Outcomes,45.1,43.0
ME,Maine,Aroostook,MHLTH,Frequent mental distress among adults,Health Status,21.1,21.0
KY,Kentucky,McLean,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,64.0,63.1
MI,Michigan,Barry,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,7.8,7.6
LA,Louisiana,Washington,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,20.7,20.2
LA,Louisiana,Franklin,MOBILITY,Mobility disability among adults,Disability,20.2,17.75
LA,Louisiana,West Feliciana,BPHIGH,High blood pressure among adults,Health Outcomes,40.6,39.8
MD,Maryland,Baltimore,CASTHMA,Current asthma among adults,Health Outcomes,12.7,11.8
LA,Louisiana,Concordia,ARTHRITIS,Arthritis among adults,Health Outcomes,30.0,28.0
LA,Louisiana,Assumption,MHLTH,Frequent mental distress among adults,Health Status,21.6,21.0
LA,Louisiana,Franklin,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,36.0,34.3
KS,Kansas,Stevens,ACCESS2,Current lack of health insurance among adults aged 18-64 years,Prevention,19.9,17.1
LA,Louisiana,Madison,LONELINESS,Loneliness among adults,Health-Related Social Needs,40.3,38.1
LA,Louisiana,Union,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,27.0,26.2
LA,Louisiana,Jackson,INDEPLIVE,Independent living disability among adults,Disability,11.8,11.6
LA,Louisiana,Webster,SELFCARE,Self-care disability among adults,Disability,6.4,5.4
KS,Kansas,Seward,OBESITY,Obesity among adults,Health Outcomes,43.4,43.0
MA,Massachusetts,Norfolk,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,79.8,78.9
LA,Louisiana,Evangeline,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,26.5,22.1
LA,Louisiana,Evangeline,COGNITION,Cognitive disability among adults,Disability,22.4,20.4
ME,Maine,Cumberland,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,68.9,67.4
LA,Louisiana,St. Landry,COGNITION,Cognitive disability among adults,Disability,22.5,20.4
ME,Maine,Washington,DEPRESSION,Depression among adults,Health Outcomes,29.1,28.4
LA,Louisiana,West Carroll,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,20.8,20.8
MI,Michigan,Clare,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,9.5,9.1
LA,Louisiana,Sabine,DISABILITY,Any disability among adults,Disability,40.6,39.4
LA,Louisiana,St. Landry,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,15.8,13.4
MD,Maryland,Baltimore,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,14.8,14.3
LA,Louisiana,Red River,MOBILITY,Mobility disability among adults,Disability,20.4,17.75
MD,Maryland,Prince George's,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,80.7,78.6
MD,Maryland,St. Mary's,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,66.6,63.1
LA,Louisiana,Pointe Coupee,BPHIGH,High blood pressure among adults,Health Outcomes,40.4,39.8
LA,Louisiana,Avoyelles,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,30.9,26.2
LA,Louisiana,Claiborne,BPHIGH,High blood pressure among adults,Health Outcomes,48.6,39.8
LA,Louisiana,Concordia,MOBILITY,Mobility disability among adults,Disability,20.9,17.75
LA,Louisiana,St. Martin,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,29.7,29.0
MD,Maryland,Harford,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,67.4,67.4
LA,Louisiana,Red River,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,64.9,62.5
LA,Louisiana,Tensas,BPHIGH,High blood pressure among adults,Health Outcomes,47.4,39.8
LA,Louisiana,Tensas,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,81.2,78.9
LA,Louisiana,Rapides,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,79.0,78.6
LA,Louisiana,St. Helena,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,27.6,24.0
MD,Maryland,Dorchester,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,81.2,78.6
LA,Louisiana,Caldwell,DISABILITY,Any disability among adults,Disability,42.6,39.4
LA,Louisiana,Iberville,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,32.9,29.0
LA,Louisiana,St. Mary,SELFCARE,Self-care disability among adults,Disability,5.7,5.4
ME,Maine,Piscataquis,DEPRESSION,Depression among adults,Health Outcomes,28.8,28.4
MI,Michigan,Charlevoix,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,7.9,7.6
LA,Louisiana,Catahoula,PHLTH,Frequent physical distress among adults,Health Status,17.4,16.4
LA,Louisiana,Caldwell,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,10.1,9.1
MD,Maryland,Somerset,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,22.6,22.1
LA,Louisiana,Richland,CHD,Coronary heart disease among adults,Health Outcomes,7.3,7.0
KY,Kentucky,Bullitt,SLEEP,Short sleep duration among adults,Health Risk Behaviors,42.3,42.3
KY,Kentucky,Lewis,SLEEP,Short sleep duration among adults,Health Risk Behaviors,42.9,42.3
LA,Louisiana,St. Mary,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,63.1,62.5
LA,Louisiana,Sabine,PHLTH,Frequent physical distress among adults,Health Status,17.0,16.4
LA,Louisiana,Union,DEPRESSION,Depression among adults,Health Outcomes,28.8,28.4
KY,Kentucky,Webster,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,25.5,24.0
KY,Kentucky,Casey,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,25.8,24.0
ME,Maine,Lincoln,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,64.7,63.1
LA,Louisiana,Madison,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,26.2,20.8
LA,Louisiana,Claiborne,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,40.0,26.2
KY,Kentucky,Carroll,SLEEP,Short sleep duration among adults,Health Risk Behaviors,45.1,42.3
LA,Louisiana,Union,COGNITION,Cognitive disability among adults,Disability,21.6,20.4
LA,Louisiana,Tensas,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,27.9,20.2
LA,Louisiana,Tensas,ARTHRITIS,Arthritis among adults,Health Outcomes,29.8,28.0
KY,Kentucky,Magoffin,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,36.5,24.0
LA,Louisiana,Tensas,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,38.3,26.2
ME,Maine,Aroostook,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,24.3,24.0
LA,Louisiana,Iberia,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,81.3,78.9
KY,Kentucky,Edmonson,SLEEP,Short sleep duration among adults,Health Risk Behaviors,43.7,42.3
LA,Louisiana,St. Landry,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,64.5,62.5
LA,Louisiana,Franklin,STROKE,Stroke among adults,Health Outcomes,4.6,4.1
