stateabbr,statedesc,measureid,measure,category,county_count,mean_prevalence,median_prevalence,min_prevalence,max_prevalence
CO,Colorado,HEARING,Hearing disability among adults,Disability,64,6.6,6.55,5.1,9.1
CO,Colorado,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,64,28.78,28.7,26.6,31.1
CO,Colorado,INDEPLIVE,Independent living disability among adults,Disability,64,7.47,7.5,4.9,11.3
CO,Colorado,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,64,18.98,18.95,12.2,28.9
CO,Colorado,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,64,69.39,69.05,62.3,77.2
CO,Colorado,MHLTH,Frequent mental distress among adults,Health Status,64,17.28,17.5,14.6,20.2
CO,Colorado,MOBILITY,Mobility disability among adults,Disability,64,10.85,10.8,7.1,17.0
CO,Colorado,OBESITY,Obesity among adults,Health Outcomes,64,27.07,27.15,17.4,35.1
CO,Colorado,PHLTH,Frequent physical distress among adults,Health Status,64,12.6,12.6,9.1,17.0
CO,Colorado,SELFCARE,Self-care disability among adults,Disability,64,3.26,3.2,1.9,6.0
CO,Colorado,SLEEP,Short sleep duration among adults,Health Risk Behaviors,64,31.72,31.8,24.7,37.7
CO,Colorado,STROKE,Stroke among adults,Health Outcomes,64,2.8,2.8,2.0,4.2
CO,Colorado,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,64,12.06,12.1,5.0,24.9
CO,Colorado,VISION,Vision disability among adults,Disability,64,4.67,4.45,2.7,8.8
CT,Connecticut,ACCESS2,Current lack of health insurance among adults aged 18-64 years,Prevention,9,10.06,10.1,7.1,15.0
CT,Connecticut,ARTHRITIS,Arthritis among adults,Health Outcomes,9,21.5,21.7,19.5,22.9
CT,Connecticut,BINGE,Binge drinking among adults,Health Risk Behaviors,9,17.14,17.2,15.6,18.7
CT,Connecticut,BPHIGH,High blood pressure among adults,Health Outcomes,9,28.41,28.4,24.9,30.8
CT,Connecticut,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,9,56.89,56.7,55.3,59.9
CT,Connecticut,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,9,7.13,7.1,6.5,7.6
CT,Connecticut,CASTHMA,Current asthma among adults,Health Outcomes,9,11.11,11.2,10.0,11.7
CT,Connecticut,CHD,Coronary heart disease among adults,Health Outcomes,9,4.78,4.8,4.2,5.1
CT,Connecticut,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,9,78.3,78.5,76.6,79.7
CT,Connecticut,CHOLSCREEN,Cholesterol screening among adults,Prevention,9,87.96,88.0,87.0,89.0
CT,Connecticut,COGNITION,Cognitive disability among adults,Disability,9,13.02,13.0,10.8,14.3
CT,Connecticut,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,9,66.32,66.1,65.6,67.4
CT,Connecticut,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,9,4.94,4.9,4.0,5.7
CT,Connecticut,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,9,11.07,11.3,8.7,12.5
CT,Connecticut,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,9,69.92,69.1,67.6,74.6
CT,Connecticut,DEPRESSION,Depression among adults,Health Outcomes,9,22.0,21.8,18.2,24.8
CT,Connecticut,DIABETES,Diagnosed diabetes among adults,Health Outcomes,9,8.42,8.8,7.3,9.2
CT,Connecticut,DISABILITY,Any disability among adults,Disability,9,24.19,24.4,20.8,27.1
CT,Connecticut,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,9,25.31,25.2,22.7,28.3
CT,Connecticut,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,9,14.88,15.3,10.4,20.9
CT,Connecticut,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,9,11.78,12.4,8.5,16.5
