stateabbr,statedesc,locationname,locationid,totalpopulation,health_burden_score,burden_percentile,burden_category,indicator_count,indicator_completeness,top_indicator_1,top_indicator_2,top_indicator_3
OK,Oklahoma,Coal,40029,5266,1.4730977384268051,96.24492557510148,Very High,11,1.0,CSMOKING,COPD,LPA
WV,West Virginia,Barbour,54001,15378,1.472721968244319,96.21109607577807,Very High,11,1.0,MHLTH,DEPRESSION,COPD
WV,West Virginia,Ritchie,54085,8167,1.464245437238073,96.17726657645468,Very High,11,1.0,MHLTH,DEPRESSION,COPD
GA,Georgia,Baker,13007,2743,1.4532808344870902,96.14343707713124,Very High,11,1.0,STROKE,DIABETES,BPHIGH
TN,Tennessee,Grundy,47061,13955,1.4531139914688964,96.10960757780784,Very High,11,1.0,DEPRESSION,COPD,MHLTH
MS,Mississippi,Lawrence,28077,11741,1.4525211005188965,96.07577807848445,Very High,11,1.0,BPHIGH,LPA,STROKE
LA,Louisiana,Washington,22117,44865,1.451341860881551,96.04194857916104,Very High,11,1.0,BPHIGH,LPA,OBESITY
MS,Mississippi,Jefferson Davis,28065,10969,1.4501582099129544,96.0081190798376,Very High,11,1.0,BPHIGH,STROKE,DIABETES
AR,Arkansas,Nevada,5099,8120,1.450018772400757,95.9742895805142,Very High,11,1.0,BPHIGH,LPA,STROKE
AL,Alabama,Escambia,1053,36558,1.4480288047295424,95.9404600811908,Very High,11,1.0,BPHIGH,STROKE,GHLTH
TN,Tennessee,Cocke,47029,37404,1.4368709478367074,95.9066305818674,Very High,11,1.0,DEPRESSION,MHLTH,COPD
LA,Louisiana,Acadia,22001,56489,1.4366505624585133,95.87280108254396,Very High,11,1.0,DEPRESSION,MHLTH,COPD
AR,Arkansas,Jackson,5067,16784,1.4358308255991237,95.83897158322056,Very High,11,1.0,LPA,COPD,GHLTH
WV,West Virginia,Raleigh,54081,72356,1.4310980153737645,95.80514208389717,Very High,11,1.0,MHLTH,DEPRESSION,COPD
NC,North Carolina,Scotland,37165,34376,1.4273130638110796,95.77131258457376,Very High,11,1.0,STROKE,BPHIGH,DIABETES
OK,Oklahoma,Seminole,40133,23565,1.423203234470562,95.73748308525036,Very High,11,1.0,CSMOKING,COPD,LPA
LA,Louisiana,Richland,22083,19712,1.4189514637327454,95.70365358592692,Very High,11,1.0,BPHIGH,STROKE,MHLTH
MS,Mississippi,Pike,28113,39394,1.4169358391514704,95.66982408660353,Very High,11,1.0,BPHIGH,STROKE,DIABETES
LA,Louisiana,Caldwell,22021,9389,1.4104965100158768,95.63599458728012,Very High,11,1.0,CSMOKING,MHLTH,COPD
ND,North Dakota,Rolette,38079,11728,1.4082219582901914,95.6021650879567,Very High,11,1.0,CSMOKING,OBESITY,STROKE
LA,Louisiana,St. Mary,22101,47055,1.4068350202238105,95.56833558863327,Very High,11,1.0,MHLTH,BPHIGH,STROKE
WV,West Virginia,Pocahontas,54075,7765,1.403711581331328,95.53450608930989,Very High,11,1.0,MHLTH,DEPRESSION,COPD
WV,West Virginia,Boone,54005,20576,1.400325505747689,95.50067658998648,Very High,11,1.0,MHLTH,DEPRESSION,COPD
TX,Texas,Brooks,48047,6848,1.399356969690824,95.46684709066304,Very High,11,1.0,ACCESS2,GHLTH,DIABETES
GA,Georgia,Turner,13287,8909,1.3987816955944488,95.43301759133963,Very High,11,1.0,STROKE,DIABETES,LPA
OK,Oklahoma,Sequoyah,40135,40291,1.3983659776122954,95.39918809201625,Very High,11,1.0,OBESITY,CSMOKING,COPD
MO,Missouri,Hickory,29085,8718,1.388446055514096,95.36535859269284,Very High,11,1.0,COPD,CSMOKING,LPA
GA,Georgia,Ben Hill,13017,17128,1.3867978855154866,95.3315290933694,Very High,11,1.0,STROKE,DIABETES,BPHIGH
VA,Virginia,Hopewell,51670,22752,1.3832766017242124,95.297699594046,Very High,11,1.0,STROKE,DIABETES,OBESITY
TN,Tennessee,Hardeman,47069,25567,1.3808945370445649,95.2638700947226,Very High,11,1.0,BPHIGH,CSMOKING,DIABETES
TN,Tennessee,Clay,47027,7714,1.3719432751325764,95.2300405953992,Very High,11,1.0,DEPRESSION,MHLTH,COPD
TN,Tennessee,Johnson,47091,18375,1.3565477519394715,95.19621109607576,Very High,11,1.0,COPD,DEPRESSION,CSMOKING
OK,Oklahoma,Latimer,40077,9526,1.355868535423698,95.16238159675235,Very High,11,1.0,CSMOKING,COPD,LPA
GA,Georgia,Calhoun,13037,5457,1.3547168183498028,95.12855209742897,Very High,11,1.0,STROKE,DIABETES,BPHIGH
TN,Tennessee,Fentress,47049,19696,1.352870280281347,95.09472259810556,Very High,11,1.0,DEPRESSION,MHLTH,COPD
AL,Alabama,Hale,1065,14888,1.348189105450338,95.06089309878216,Very High,11,1.0,BPHIGH,STROKE,DIABETES
TN,Tennessee,Perry,47135,8891,1.3480621267779254,95.02706359945871,Very High,11,1.0,DEPRESSION,MHLTH,COPD
