stateabbr,statedesc,locationname,locationid,totalpopulation,health_burden_score,burden_percentile,burden_category,indicator_count,indicator_completeness,top_indicator_1,top_indicator_2,top_indicator_3,OBESITY_z,DIABETES_z,BPHIGH_z,STROKE_z,COPD_z,DEPRESSION_z,CSMOKING_z,LPA_z,GHLTH_z,MHLTH_z,ACCESS2_z
TN,Tennessee,Haywood,47075,17328,1.87766934057442,98.44384303112314,Very High,11,1.0,BPHIGH,DIABETES,STROKE,1.8910608762105736,2.288262496362051,2.4198926302857853,2.1509990670150487,1.7539971461034656,1.1959957753675805,1.9923741753358544,1.796233400714132,2.066232355120211,2.1460016950062872,0.9533131287976322
WV,West Virginia,Logan,54045,30827,1.8745601641193343,98.41001353179972,Very High,11,1.0,DEPRESSION,MHLTH,COPD,1.4906237412599617,1.3011654543168305,1.603415100024036,0.8565131034885985,2.5944495555209577,3.5084667985301845,2.33115056017826,1.870449051033146,1.894303816044406,3.39573199438583,-0.2261073694695327
GA,Georgia,Macon,13193,11817,1.8687683483082689,98.37618403247632,Very High,11,1.0,STROKE,DIABETES,BPHIGH,1.3220186318070717,3.1466077503144168,2.656241389045765,3.445485030541501,1.8186473314432727,-1.6078753402170751,1.935911444528787,2.4456203410055064,2.5175447701941973,0.996249819577109,1.8800006631504047
WV,West Virginia,Wyoming,54109,20277,1.840488679015713,98.34235453315291,Very High,11,1.0,MHLTH,DEPRESSION,COPD,1.3641699091702943,1.3440827170144491,1.8397638587840168,0.8565131034885985,2.6590997408607646,2.785819603791871,2.500538752599462,1.926110788772406,1.894303816044406,3.1957751464851043,-0.1208019678385359
AR,Arkansas,Lafayette,5073,6095,1.8348991750826,98.3085250338295,Very High,11,1.0,LPA,GHLTH,STROKE,1.8278339601657392,1.773255343990632,2.226516373118529,2.312809812455856,2.1418982581423087,0.560066243997865,1.766523252107585,2.482728166165013,2.4745626354252472,1.8960556351303783,0.7216412452094391
MS,Mississippi,Sunflower,28133,24468,1.826670221113139,98.27469553450608,Very High,11,1.0,STROKE,BPHIGH,DIABETES,2.37580056588763,3.0607732249191804,3.429746417714792,3.6072957759823066,1.624696775423852,-1.9836518814809985,1.5689036942828485,2.6868212045423023,2.4100894332718195,0.2964008519245638,1.0164963697762304
GA,Georgia,Telfair,13271,10920,1.8065262528108563,98.24086603518268,Very High,11,1.0,STROKE,DIABETES,ACCESS2,1.1112622449909595,2.7603523860358528,1.9901676143585485,2.798242048778275,2.077248072802501,-1.0586634722159576,1.8512173483181853,2.2229733900484634,2.453071568040772,1.196206667477835,2.469710912283987
AR,Arkansas,St. Francis,5123,22101,1.7915594439648337,98.20703653585927,Very High,11,1.0,BPHIGH,STROKE,LPA,2.1650441790715185,2.33117975905967,2.806645144620299,2.798242048778275,1.624696775423852,-0.5383574920043717,1.5689036942828485,2.6311594668030422,2.3885983658873444,1.1462174555026527,0.7848244861880374
WV,West Virginia,Lincoln,54043,19701,1.791153028323576,98.17320703653586,Very High,11,1.0,MHLTH,DEPRESSION,COPD,1.5960019346680174,1.3869999797120671,1.4530113444495023,1.018323848929405,2.723749926200571,2.988160818318597,2.472307387195929,1.2952777610607853,1.743866344353077,3.145785934509921,-0.1208019678385359
SD,South Dakota,Jackson,46071,2776,1.787931859928362,98.13937753721244,Very High,11,1.0,CSMOKING,STROKE,COPD,0.8794302194932365,2.545766072547761,0.9373413253368188,3.445485030541501,2.78840011154038,-0.3360162774776441,3.799181561162015,1.406601236539307,2.1307055572736378,1.496141939328926,0.5742136829260436
