year,stateabbr,statedesc,locationname,locationid,totalpopulation,indicator_count,indicator_completeness,health_burden_score,burden_rank,burden_percentile,burden_category,high_burden_flag,very_high_burden_flag,priority_flag
2023,UT,Utah,Kane,49025,8425,11,1.0,-0.8815905960802858,2607.0,11.840324763193506,Very Low,False,False,False
2023,NE,Nebraska,Rock,31149,1271,11,1.0,-0.8831155327726925,2608.0,11.806495263870096,Very Low,False,False,False
2023,ND,North Dakota,Bottineau,38009,6349,11,1.0,-0.8836320354688021,2609.0,11.772665764546684,Very Low,False,False,False
2023,NY,New York,Erie,36029,946147,11,1.0,-0.8838538702117826,2610.0,11.738836265223275,Very Low,False,False,False
2023,IL,Illinois,Will,17197,700728,11,1.0,-0.8859206898529556,2611.0,11.705006765899864,Very Low,False,False,False
2023,GA,Georgia,Cherokee,13057,286602,11,1.0,-0.8885503507772113,2612.0,11.671177266576455,Very Low,False,False,False
2023,IN,Indiana,Hendricks,18063,186387,11,1.0,-0.888882288432173,2613.0,11.637347767253043,Very Low,False,False,False
2023,NE,Nebraska,Howard,31093,6527,11,1.0,-0.8896013147272733,2614.0,11.603518267929632,Very Low,False,False,False
2023,TX,Texas,Terrell,48443,687,11,1.0,-0.8899199663733266,2615.0,11.569688768606223,Very Low,False,False,False
2023,CO,Colorado,Washington,8121,4855,11,1.0,-0.8905037513957658,2616.0,11.535859269282817,Very Low,False,False,False
2023,NE,Nebraska,Butler,31023,8459,11,1.0,-0.8907320436437356,2617.0,11.502029769959403,Very Low,False,False,False
2023,ID,Idaho,Jefferson,16051,34198,11,1.0,-0.8911388483606508,2618.0,11.468200270635997,Very Low,False,False,False
2023,NC,North Carolina,Chatham,37037,81624,11,1.0,-0.8914926710637993,2619.0,11.434370771312585,Very Low,False,False,False
2023,ND,North Dakota,Nelson,38063,2991,11,1.0,-0.8931729569758615,2620.0,11.400541271989177,Very Low,False,False,False
2023,ND,North Dakota,Billings,38007,1034,11,1.0,-0.8938845702066267,2621.0,11.366711772665765,Very Low,False,False,False
2023,NY,New York,Livingston,36051,61158,11,1.0,-0.8943976866299141,2622.0,11.332882273342356,Very Low,False,False,False
